Section,Technique,Step #,Step Text
After the Pass,Kimura from Side Control,Step 2,Bring bottom hand to their inside hip to block it as you rotatae to 45° facing toward their hip
After the Pass,Kimura from Side Control,Step 3,Use free hand to pin their arm to mat (c-grip wit palm down)
After the Pass,Kimura from Side Control,Step 4,"Bring gripping arm elbow to their hip, connect Kimura grip and move toward their side bringing your elbow to their elbow"
After the Pass,Kimura from Side Control,Step 5,Pull their elbow up; push their hand toward their far shoulder; flip hips so that bottom leg is against their head and top leg is posted overtop/past their head
After the Pass,Americana,Step 1,Cup elbow with bottom hand and pull it up/in while pressuring in with shoulder
After the Pass,Americana,Step 2,Fence in top hand to grab wrist (5 finger grip palm down) and grab own wrist
After the Pass,Americana,Step 3,Motorcycle their palm away / toward ceiling and bring their elbow down to their hip
After the Pass,Straight Arm Bar from Mousetrap,Step 1,"As you attack Americana (cup elbow and fence in to wrist), opponent straightens arm"
After the Pass,Straight Arm Bar from Mousetrap,Step 2,Go to RNC grip (grab bicep) with top arm on their wrist (5 finger grip)
After the Pass,Straight Arm Bar from Mousetrap,Step 3,Put forehead on thumb and drive down along with arm (ideally their thumb is up)
After the Pass,Side Control to Knee on Belly,Step 1,Bring bottom hand to a far hip grip; top hand goes into top of lapel
After the Pass,Side Control to Knee on Belly,Step 2,"Pressure down and pop up into knee on belly (at  45° in middle of chest), toes off mat"
After the Pass,Knee on Belly > Step Around Arm Bar,Step 1,Reach bottom arm through to 5-finger tricep grip; push head down with top hand while pulling their shoulder off mat/them onto their side
After the Pass,Knee on Belly > Step Around Arm Bar,Step 2,"Step to behind their shoulder/lat, keeping chest down, turn, and grab inside of pants with free hand to control descent and keep them from suicide escape"
After the Pass,Knee on Belly > Step Around Arm Bar,Step 3,Keep grabbing leg and finish arm bar over lower hip
After the Pass,Pin Flow 2: 4pts > Reverse Kesa > Mount,Step 1,Top hand grabs lapel (or belt) and hips drop to reverse kesa
After the Pass,Pin Flow 2: 4pts > Reverse Kesa > Mount,Step 2,Grab far knee and collapse toward you; step over and extend leg while coming to mount (should end with head-arm as well)
After the Pass,Mounted Cross Choke,Step 1,"Open up lapel with same side grip; dig in with cross grip (4 fingers inside, knuckles to mat)"
After the Pass,Mounted Cross Choke,Step 2,"Proactively post across and shift wieght forward, with feet coming in contact with opponent's hips"
After the Pass,Mounted Cross Choke,Step 3,Elbow of post hand lands on mat by opponent's neck; forehead also goes to mat
After the Pass,Mounted Cross Choke,Step 4,Scrape elbow across chin/face until hand is on lapel; then curl head in c shape while turnings hands out/down
After the Pass,Guillotine from Turtle,Step 1,"Bring choking hand as deep as you can (hide palm on their shoulder) and make blade grip (choking arm thumb to ceiling, other hand 5-fingers)"
After the Pass,Guillotine from Turtle,Step 2,Fold choking leg in while rotating to step other leg up to foot
After the Pass,Guillotine from Turtle,Step 3,Sit back to hip/side and throw outside leg over top (inside leg pointed toward ceiling/hip)
After the Pass,Arm Bar from Mount,Step 1,Grab bottom wrist (same side) and same arm elbow (same side)
After the Pass,Arm Bar from Mount,Step 2,"Push arm in and as they resist, come to S mount. Bottom leg is semi-weight bearing in arm pit. Top thigh is flat across their hips. Sitting on back of their shoulder."
After the Pass,Arm Bar from Mount,Step 3,"Either hand can scoop their top arm. Say bottom scoops deep first. Then head circles out and around toward legs to make top leg light, which you step over with keeping weight centered"
After the Pass,Arm Bar from Mount,Step 4,"Bring second hand onto their arm as you fall back. Thumb to ceiling, Dylan grip, hand to pocket and raise hips"
Take Back & Finish,RNC,Step 1,"Heels pulling in, pulling shoulders/back into chest"
Take Back & Finish,RNC,Step 2,"Choking arm goes to far trap; other hand is never seen, goes under your chin and you grab it's bicep"
Take Back & Finish,RNC,Step 3,"Pull with choking arm, push with bladed hand behind head"
Take Back & Finish,Backtake from Turtle,Step 1,Grab far lapel at waist with far hand (keep elbow further away to avoid Peterson roll)
Take Back & Finish,Backtake from Turtle,Step 2,Rotate forward and block their front knee with your front leg that comes down to a knee; post out with front hand
Take Back & Finish,Backtake from Turtle,Step 3,Stack head to top shoulder and grab harness/seatbelt control
Take Back & Finish,Backtake from Turtle,Step 4,"Slide onto hip with knee in space created, then put hooks in (start with hook away from your head)"
Take Back & Finish,Modified Bow Choke,Step 1,Grab far/bottom lapel with top choking hand; crawl it up and then grab other lapel
Take Back & Finish,Modified Bow Choke,Step 2,Bring top leg to their top hip and bottom leg to top hip
Take Back & Finish,Modified Bow Choke,Step 3,"Choking hand across, bottom hand down, push down with legs to point their hips to ceiling"
Take Back & Finish,The Harness Control,Step 1,"As opponent attacks non-choking hand, release harness, come inside with top hand and c-grip with palm down on their top/inside wrist; bottom hand makes kimura grip"
Take Back & Finish,The Harness Control,Step 2,Keep kimura grip but move it to frame against side of their head (choking forearm now against outside of their face)
Take Back & Finish,The Harness Control,Step 3,"Top leg comes above their shoulder and chops down and out, bringing them to mat and you to seated"
Take Back & Finish,The Harness Control,Step 4,Inside arm (was grabbing own arm) deep to outside pocket
Take Back & Finish,The Harness Control,Step 5,Lean toward top/post out with free hand and rotate until grip breaks overhead
Take Back & Finish,The Harness Control,Step 6,Grab hand and point thumb to ceiling with 2-on-1. Break over far hip
Closed Guard,Breaking Posture in Closed Guard,Step 1,"Same-side cat-paw and same side cross-collar grip (4 fingers in, palm up)"
Closed Guard,Breaking Posture in Closed Guard,Step 2,Pull in with legs while pulling down on lapel to break them down chest-to-chest
Closed Guard,Closed Guard Arm Bar,Step 1,"Same-side cat-paw grip, reach overtop with cross hand to elbow"
Closed Guard,Closed Guard Arm Bar,Step 2,Break down with knee crunch and clamp elbow to/across center line
Closed Guard,Closed Guard Arm Bar,Step 3,Cat-paw grip releases and grabs gi on far trap/shoulder and breaks them down chest to chest (can be just open hand/5 finger grip)
Closed Guard,Closed Guard Arm Bar,Step 4,"Arm-bar side leg comes to their hip with knee tight blocked elbow from slipping out; push with it to make angle while other legs rotates up into high back/arm-pit, perpendicular to their spine"
Closed Guard,Closed Guard Arm Bar,Step 5,Shoulder grip releases and pushed their head away (parallel to ground/horizontally) while far leg on hip comes over their head 
Closed Guard,Closed Guard Arm Bar,Step 6,Hand that pushed heads comes to chest and wraps over their arm; legs/shins angle toward their head (DO NOT CROSS)
Closed Guard,Closed Guard Arm Bar,Step 7,Clamp down with hamstrings and hip up while holding their arm (ideally thumb up) to break
Closed Guard,Closed Guard Arm Bar from Shoulder Jump,Step 1,"Cross collar grip (4 fingers in palm up) and cross cat-paw grip UNDER your cross collar grip, pulling starting lawnmover so their elbow approaches center line"
Closed Guard,Closed Guard Arm Bar from Shoulder Jump,Step 2,"Shrimp a bit out with chest facing cat-paw grip; break them down, clamping your elbow down on the outside of theirs, so that their elbow stays on the inside of your hip"
Closed Guard,Closed Guard Arm Bar from Shoulder Jump,Step 3,"Shoulder jump; hips engaged to keep far knee by ear/above shoulder, and near knee in armpit"
Closed Guard,Closed Guard Arm Bar from Shoulder Jump,Step 4,"Cross collar grip releases and pushes head horitzonally as legs uncross and far leg comes over top to clamp down, pointing in-line with their shoulders/toward head"
Closed Guard,Closed Guard Arm Bar from Shoulder Jump,Step 5,Top hand grabs butt-meat of their hand with bottom hand coming on top clapsed over it (their thumb up); pin arm to chest and hip up while looking toward their butt/over their shoulder to finish
Closed Guard,2-on-1 to the Back,Step 1,"Cross cat-paw grip, same side under their arm connecting with cross-grip to form Kimura grip; pull them down with legs and break grip straight over your head"
Closed Guard,2-on-1 to the Back,Step 2,Keep cat-paw grip and push hand toward far knee; other hands wraps around toward their far lat
Closed Guard,2-on-1 to the Back,Step 3,Shrimp/hip-shift out (so you are moving toward their back); release cat-paw grip and feed lapel to your top hand; top-hand elbow points toward your top hip
Closed Guard,2-on-1 to the Back,Step 4,Top hand can now come out and post on elbow as you drive hips into opponent and pull your head away
Closed Guard,2-on-1 to the Back,Step 5,"Once on elbow, unlock guard, scissor legs and rotate around to take back (end with both hooks in, far arm-pit lapel, and post)"
Closed Guard,Pendulum Sweep,Step 1,"Cross cat-paw grip, same side under their arm connecting with cross-grip to form Kimura grip; pull them down with legs and break grip straight over your head"
Closed Guard,Pendulum Sweep,Step 2,Keep cat-paw grip and push hand toward far knee; other hands wraps around toward their far lat
Closed Guard,Pendulum Sweep,Step 3,Shrimp/hip-shift out (so you are moving toward their back); release cat-paw grip and dig between their legs
Closed Guard,Pendulum Sweep,Step 4,Pull their knee toward your head and scissor open your far leg to load their weight on your leg in their arm-pit
Closed Guard,Pendulum Sweep,Step 5,Scissor up and pull behind their knee up into sweep/mount
Closed Guard,Cross Choke from Closed Guard,Step 1,"Open up lapel with same side grip; dig in with cross grip (4 fingers inside, thumb past ear, plan up toward ceiling)"
Closed Guard,Cross Choke from Closed Guard,Step 2,Break them down with closed-guard crunch and work to deepen grip (straight writst) with elbow on your hip
Closed Guard,Cross Choke from Closed Guard,Step 3,Opponent comes over the top to defend choking arm; you crunch up elbow past their ear and turn their face away with forearm
Closed Guard,Cross Choke from Closed Guard,Step 4,"Grab 5 finger handfull of gi on their shoulder, opening guard to shrimp away and then reclose guard"
Closed Guard,Cross Choke from Closed Guard,Step 5,"Cross collar pulls across; Shoulder pulls down; thumbs go out, and bring yoru chest to their ear"
Closed Guard,Scissor Sweep,Step 1,"Open up lapel with same side grip; dig in with cross grip (4 fingers inside, thumb past ear, plan up toward ceiling)"
Closed Guard,Scissor Sweep,Step 2,Break them down with closed-guard crunch and work to deepen grip (straight writst) and get same side cat-paw
Closed Guard,Scissor Sweep,Step 3,Hip escape onto shoulder with chest facing same-side grip and bring shin horizonally across their belt line (never plant feet)
Closed Guard,Scissor Sweep,Step 4,Scissor sweep happens by pulling opponent onto your shelf with lawn mower pull and scissoring
Closed Guard,Scissor Sweep,Step 5,Finish with cross choke and cat paw pulled up (for arm bar)
Closed Guard,Triangle from Scissor Sweep,Step 1,"Open up lapel with same side grip; dig in with cross grip (4 fingers inside, thumb past ear, plan up toward ceiling)"
Closed Guard,Triangle from Scissor Sweep,Step 2,Break them down with closed-guard crunch and work to deepen grip (straight writst) and get same side cat-paw
Closed Guard,Triangle from Scissor Sweep,Step 3,Hip escape onto shoulder with chest facing same-side grip and bring shin knee on top on their bicep pinning it down (never plant feet)
Closed Guard,Triangle from Scissor Sweep,Step 4,Push their shoulder back with your knee while pulling cat-paw like lawnmower to elongate them/twist them
Closed Guard,Triangle from Scissor Sweep,Step 5,"Rotate choking leg over top, keeping cross choke grip and hugging cat-paw to chest"
Closed Guard,Triangle from Scissor Sweep,Step 6,"Switch cat-paw grip to other hand (hugging against chest) and grab shin with far hand; step on hip to make better angle, lock up and crunch in to finish"
Closed Guard,Kimura from Closed Guard,Step 1,"Blade under and in with your hand, fencing their grip out and pinning it to the ground with a c-grip on their wrist"
Closed Guard,Kimura from Closed Guard,Step 2,Sit up and wrap the hand over to (bicep close to their elbow) and wrap up into Kimura grip (guard locked the whole time)
Closed Guard,Kimura from Closed Guard,Step 3,Bring their elbow into your chest and push their hand out as you sit back
Closed Guard,Kimura from Closed Guard,Step 4,Guard stays locked; shimmy butt outside of their knee on Kimura side
Closed Guard,Kimura from Closed Guard,Step 5,Crunch and pull knees in. moving their knuckles toward their spine and then rotate their palm forward toward their far shoulder
Closed Guard,Bump Sweep,Step 1,"Blade under and in with your hand, fencing their grip out and pinning it to the ground with a c-grip on their wrist"
Closed Guard,Bump Sweep,Step 2,Sit up and wrap the hand over to (bicep close to their elbow) and wrap up over; no need to make Kimura grip as wrist control grip releases and posts out to side
Closed Guard,Bump Sweep,Step 3,"Open guard, plant feet, and pinch knees together, letting butt fall down/away from opponent a bit"
Closed Guard,Bump Sweep,Step 4,Post arm extends off elbow as hips come to ceiling and arm remains wrapped
Closed Guard,Lumberjack Sweep,Step 1,"Opponent stands, but you grab cat-paw cross grip with other hand free (keeping hips engaged/up off mat)"
Closed Guard,Lumberjack Sweep,Step 2,Deep underhook their ankle with your free hand (all the way to elbow) and bring it to your ear (either their leg moves or you move toward leg)
Closed Guard,Lumberjack Sweep,Step 3,Smash their leg in as you punch your fist toward your ear; drop your hips away from their leg to open the lumberjacked knee outward
Up-Down Open Guard - Bottom,De La Riva Entry,Step 1,"Opponent stands, and grabs same-side cat paw as they do so; you pummel your hand overtop to get same-side cat-paw (they can have a grip under yours, you just need to be on top)"
Up-Down Open Guard - Bottom,De La Riva Entry,Step 2,Find cat-paw pant leg grip with other arm; drop that side leg into De La Riva and drop other leg toward their far hip to keep distance while maintaining cat-paw grip
Up-Down Open Guard - Bottom,Shin-to-Shin - Single Leg X,Step 1,Bring front foot inside their front leg and pull your hand from outside/behind their knee to pull yourself shin-to-shin
Up-Down Open Guard - Bottom,Shin-to-Shin - Single Leg X,Step 2,Have opponent in wide stance; reach for their far leg and fall onto that shoulder while kicking their front leg up with your shin-to-shin leg
Up-Down Open Guard - Bottom,Shin-to-Shin - Single Leg X,Step 3,"Rotate into single leg x with outside leg on their hip, inside leg has foot on their buttcheek and squeexed in to attach knee to single leg x foot on their hip, and near hand wrapped around their ankle (likely have to let go of far ankle grip)"
Up-Down Open Guard - Bottom,Shin-to-Shin - Single Leg X,Step 4,Single leg x leg drops to mat while splitting leg stays active so it does not get stuffed; drive off posted leg and pull in with buttcheek leg so they step forward and you can grab their ankle
Up-Down Open Guard - Bottom,Shin-to-Shin - Single Leg X,Step 5,Re-establish single leg x with both grips; rotate your knees (and their knee) out toward single leg x side
Up-Down Open Guard - Bottom,Shin-to-Shin - Single Leg X,Step 6,"As they fall, pull off single leg x leg and drop it to knee while buttcheek leg posts in lunge/combat base position, and then stand up with control of both pant legs"
Working from Bottom Half Guard,Knee Lever,Step 1,"Bottom foot has toes facing inward and down toward mat, hooking under opponent's shin"
Working from Bottom Half Guard,Knee Lever,Step 2,Pull opponent in; knee shield posts down and makes wedge with their knee. Inside foot levers upward and you line up toes
Working from Bottom Half Guard,Knee Lever,Step 3,Butt comes off mat as you drive hips up and knees into their chest and finish on top in combat position holding both grips
Working from Bottom Half Guard,Butterfly Sweep,Step 1,Front leg arm underhooks deep to far shoulder (grab gi/trap); put your ear toward their shoulder as you create angle
Working from Bottom Half Guard,Butterfly Sweep,Step 2,Opponent posts with straight arm; you fall to shoulder/mat and grab around to their posted trap and pull it off the mat to cover their pinky with your elbow
Working from Bottom Half Guard,Butterfly Sweep,Step 3,Keep pulling your head down toward that pocket/other your non-underhooking shoulder; elevate with front knee and sweep
Working from Bottom Half Guard,Butterfly Sweep,Step 4,Land in mount / 3/4 mount
Working from Bottom Half Guard,Get to Knees from Bottom Half Guard,Step 1,Dig underhooks (top under arm and bottom under leg) as you give up knee shield
Working from Bottom Half Guard,Get to Knees from Bottom Half Guard,Step 2,Pull opponent forward and close half guard; reach around with top underhook to grab far pants at hip
Working from Bottom Half Guard,Get to Knees from Bottom Half Guard,Step 3,"Get top foot to inside of their feet; go to deep half by rolling onto your back flat on ground, then roll back and as you do, step outside leg inside their feet as well"
Working from Bottom Half Guard,Get to Knees from Bottom Half Guard,Step 4,"Scrape their heel back with your inside top leg, making sure their knee points up"
Working from Bottom Half Guard,Get to Knees from Bottom Half Guard,Step 5,Far hand pulls tight on their hip; arm underhooking leg releases and comes inside to grab pant at inside of knee (can push or pull)
Working from Bottom Half Guard,Get to Knees from Bottom Half Guard,Step 6,Bottom leg pulls outward as well under their pinned leg as forehead goes toward mat to help you get to your knees
Working from Bottom Half Guard,Get to Knees from Bottom Half Guard,Step 7,"Once up, post outside leg and end there"
Working from Bottom Half Guard,Recover Closed Guard from Bottom Half Guard,Step 1,Opponent beats your knee line; you crunch in and bottom arm frames on their bicep (5 finger grip) or facemask yourself
Working from Bottom Half Guard,Recover Closed Guard from Bottom Half Guard,Step 2,Lead with your top elbow and pull knees in to get underhook
Working from Bottom Half Guard,Recover Closed Guard from Bottom Half Guard,Step 3,Give away crossface to opponent by bringing bottom arm inside theirs to push out their front knee
Working from Bottom Half Guard,Recover Closed Guard from Bottom Half Guard,Step 4,Outside leg wraps around to come inside their legs; bottom leg pokes through their hips and you roll /stretch onto your back
Working from Bottom Half Guard,Recover Closed Guard from Bottom Half Guard,Step 5,Hip escape with butt toward trapped leg to get it outside their hip and recover closed guard
Your Guard Got Passed - Now What?,Guard Recovery from Bottom Side Control,Step 1,Bridge up to get near-side elbow in and frame across their face; walk legs away from their body
Your Guard Got Passed - Now What?,Guard Recovery from Bottom Side Control,Step 2,Shrimp out and bring inside knee in to meet inside elbow
Your Guard Got Passed - Now What?,Guard Recovery from Bottom Side Control,Step 3,"With knee shield and frame across face, push yourself away to break their cross face"
Your Guard Got Passed - Now What?,Guard Recovery from Bottom Side Control,Step 4,Bring outside leg inside as a hook over top of your knee shield; swivel into butterfly
Your Guard Got Passed - Now What?,Sit to Half Guard from Turtle,Step 1,Inside hand grabs their inside knee at the top (not so deep that they can hook it with their outside leg)
Your Guard Got Passed - Now What?,Sit to Half Guard from Turtle,Step 2,Run your hips away from him so you are at 90° to opponent and post your inside leg in the space created (by their inside leg)
Your Guard Got Passed - Now What?,Sit to Half Guard from Turtle,Step 3,Baseball slide outside leg in; inside hand becomes underhook and bottom hand becomes bicep frame as you land on your side in half guard
Your Guard Got Passed - Now What?,Sit Through,Step 1,"Post outside leg and; head shifts out while punching up with top elbow to clear opponent from your back; then sit through, straightening out inside leg at 45° hips to ceiling"
Your Guard Got Passed - Now What?,Sit Through,Step 2,"Fold sat-through knee in and push off posted leg with hips up, spinning to their back and reaching for far hip"
Your Guard Got Passed - Now What?,Guard Retention Shoulder Roll,Step 1,Post on post arms; take inside arm and shoot in between your legs to induce an inside shoulder roll
Your Guard Got Passed - Now What?,Guard Retention Shoulder Roll,Step 2,Outside leg pushes off mat; inside leg catches their armpit to spin you around into closed guard
Stay Alive,Upa Escape from the Mount,Step 1,Clamp down on a cross-grip (maybe they have shallow cross-collar); grab same-side trap grip with other hand
Stay Alive,Upa Escape from the Mount,Step 2,Clamping hand climbs up to clamp down on their outside tricep/elbow; pull down with trap grip to break them down
Stay Alive,Upa Escape from the Mount,Step 3,Block their upa-side leg with your foot if you can; look in that direction but move yourself away from that space (so laterally away from your trap grip side)
Stay Alive,Upa Escape from the Mount,Step 4,Bridge up and over to sweep into their full guard; watch for cross collar
Stay Alive,Elbow/Knee Escape from Mount,Step 1,"Both hands go to their hip as you shift to your side. Top arm is the bottom hand, framing horizontally against their belt line. Bottom arm is the top hand, with elbow inside their knee. Hands push against their hip"
Stay Alive,Elbow/Knee Escape from Mount,Step 2,Bottom elbow opens their knee out and hip escape backwards out and under their top leg
Stay Alive,Elbow/Knee Escape from Mount,Step 3,Bring bottom knee into your bottom elbow
Stay Alive,Elbow/Knee Escape from Mount,Step 4,"Hip escape the other way now, pushing on far knee/hip and then go flat on your back into butterfly guard"
Stay Alive,Escape the Arm Bar,Step 1,Non-arm bar hand grabs same-side lapel to pull yourself in while far leg posts in a lunge against their butt
Stay Alive,Escape the Arm Bar,Step 2,Make RNC grip with arm-bar arm grabbing lapel-gripping arm. Release lapel grip as you do so and grab the outside pant of their top knee or behind their knee
Stay Alive,Escape the Arm Bar,Step 3,Clamp their leg inward toward your hip (and down a bit); jack hammer arm-bar arm out
Stay Alive,Escape the Arm Bar,Step 4,Once arm is free; you can make a belt grip and flip them away or smash them down facing you
Stay Alive,Back Escape to Open Shoulder Side,Step 1,Attacking their top choking arm; bottom arm c-grips (thumb up) their wrist and top arm 5 fingers higher up on their wrist pulling arm away from your neck/close to your body
Stay Alive,Back Escape to Open Shoulder Side,Step 2,Get back of your head to the mat (away from choking side) and flatten out nearside shoulder onto mat (hips facing ceiling)
Stay Alive,Back Escape to Open Shoulder Side,Step 3,"Top elbow/hand frames their top hip; your outside leg comes up and outside their far hook and continues to run you out and up creating space for you to dig underhook and get knee shield in both on that outside side, ending in half guard"
Stay Alive,Back Escape to Choking Arm Side,Step 1,"Attacking their bottom choking arm; top arm c-grips down on their hand, bottom arm 5 fingers higher up on their wrist pulling down and toward your body (their hand is between yours)"
Stay Alive,Back Escape to Choking Arm Side,Step 2,Square your hips to the ceiling and bring inside shoulder down toward center of their chest/the mat
Stay Alive,Back Escape to Choking Arm Side,Step 3,"Look face to face with opponent and pace their arm overtop of your head to free your head, yanking their arm down toward your belt line"
Stay Alive,Back Escape to Choking Arm Side,Step 4,Bottom hand stays on their wrist; top hand moves up to their elbow. Pulling down so their arm is on your chest
Stay Alive,Back Escape to Choking Arm Side,Step 5,Outside leg comes up and outside to beat their hook; inside arm releases elbow and frames against their thigh/hip
Stay Alive,Back Escape to Choking Arm Side,Step 6,Turn into your opponent to get on top (half guard/full guard)
